faq text
How much to access gym?
How much to access pool?
so you have wifi
do you have wifi
is there wifi
How much does the buffet cost
do you have wifi
hi
do yo have wifi
do you have wifi
what is the price of wifi
do you have wifi
where is wifi
what is the price of wifi
what is the price of wifi
where can i get wifi
do you have wifi
do you have random stuff
when is the gym open
do you have a pool
is there a moon
Do you have wifi?
Do you have a gym
When is the gym open
when is the gym open
what is the price of visting the gym
what is the price of visiting the gym
what is the price of visiting the gym
when is the gym open
what is the price of visiting the gym
what is the price of visiting the gym
what is the price of visiting the gym
where is the gym?
when is the gym open
do you have wifi?
when is the pool open
where is the pool
How much to access gym?
How much to access gym?
what is pool
where is the pool
Where is the pool
where is the pool
where is the pool
where is the pool
where is the pool
where is the pool
where is the pool
where is the pool
where is the pool
where is the pool
Where is the pool
where is the pool
do you have WiFi
do you have wifi
in which floor is the gym?
in which floor is the bar?
in which floor is the restaurant?
do you have wifi
how much is wifi
do you have a pool?
do you have wifi
when is the pool open
where is the pool
do you have the moon
do you have a bar
do you have wifi
do you have wifi
do you have wifi
do you have wifi
What time does the pool open?
when is the pool open?
Where is the tennis court?
Where is the store?
hi
hi
do you have wifi
hi
hi
hi
do you have wifi
hio
do you have a restaurant
waht si the price of the restaurant
what is the price of wifi
what is the price of food
hi
do you have food
what is the price of food
what is the price of foodwhat is teh price of food
what is the price of food
"""what is the price of food"
"""what is the price of foodwhat is the price of food"
what is the price of food
what is the price of wifi
what is the price of food
what is the price of food
what is the price of food
do you have wifi
what is the price of wifi
where is wifi
where can i get wifi
where can i get wifi
where can i get wifi
when can i get wifi
hi
where is the wifi
where is wifi
what is the price of wifi
whe ncan i get wifi
when can i get wifi
do you have wifi
do you have wifi
do you have wifi
where can i get wifi
how much is wifi
when can i get wifi
when is the gym open
random stuff that isn't a real question
do you have parking
do you have a kitchen
when is the kitchen open
do you have wifi
do yo have food
faq
do you have water
when can i get water?
is there wifi
do you sell beer
test
faq
do you have wifi
do you have water
do you have wifi
where is the pool
where is the moon
do you have water
do you have wifi?
do you have water
where is the gym located?
do you have water
random question
where is the gym?
how much does the gym cost?
do you have lego
do you have food
what is the price of food?
waht si the price of wifi
what time is the gym open?
what time does the does open?
what is the price of wifi
waht si the price of wifi
do you have wifi
do you have food?
what is the price of wifi
do you have wifi
hi
where is the gym?
how much does the gym cost?
when does the gym close?
do you have a gym?
faq
where is the pool
cancell
hi
What time does the pool close?
do you have wifi
where is the bar?
do you have wifi?
Where is the pool
Where is the pool
do you have wifi
what can you do for me?
do you heve wifi
what is the  price of wifi
Where is the pool
What time is the movie room open
Where is the pool
Hi oli
Where is the pool?
What is the cost of breaking the lease fee?
What's the cost of breaking the lease fee?
There is a leak in my bathroom
What time is the movie room open?
What time is the movie room open?
how much are the lease break fees?
Where is the pool?
Where is the pool?
where is the pool
where is the pool
where is the pool?
where is the pool
Where is the pool?
What's cost the lease break fee?
What's cost the lease break fee
There is a leak in my bathroom
Where is the pool
Where is the pool?
What's the cost of the lease break fee?
What's the cost of the lease break fee?
What time is the movie room open?
when does the pool open
random text
where is wifi
What time does the office close?
Where is the pool
Where is the pool
Where is the pool
Where is the pool
Where is the pool
Where is the pool
Where is the pool
Where is the pool?
Is there a dog walking service in the residence?
What time does the tennis court open?
What time does the bar open?
what is the price of wifi
What is the price of wifi
What's time the pool
Where is the pool?
where is the pool
where is the wifi
Where is the wifi?
Where's the pool
Where is the pool
Where is the pool?
Whats the cost of the lease break fee?
What's the cost of the lease break fee?
What time is the movie room open?
Where is the pool?
What's the cost of the lease break fee?
What time is the movie room open?
Where is the pool?
Where is the tennis court?
I have William visiting tonight
what is the price of wifi
what is the price of wifi
what is the price of wifi
what is the price of wifi
what is the price of wifi
Where is the pool?
